Video_ID,Factor,Metrics,Threshold,Causal_Link,Outcome
5,9:30-9:45 黃金15分鐘,開盤後分鐘數,開盤後前15分鐘: 最高成交量+最高波動率; 最佳交易窗口,開盤鐘聲 → 所有訂單集中釋放 → 最大流動性 → 最佳入場和出場環境,↑HIGH WIN: 9:30-9:45是最重要交易窗口
50,9:30-10:05的交易後衰減,時間窗口，相對成交量,10:05後成交量快速衰減; 11:30後基本停止主動交易,開盤後 → 成交量指數衰減 → 10:05後動能急降 → 11:30後停止交易,↑系統: 時間管理是利潤保護的關鍵
1007,7AM整點突破窗口,7:00/7:30/8:00 AM時間點,7AM整點 = 更多交易者上線 = 流動性增加時刻; 突破+量 = 有效信號,整點時間 → 流動性突然增加 → 突破更可信 → 成功率提升,↑HIGH WIN: 整點突破+量確認組合
1350,Hot vs Cold Market識別,每日>50%漲幅股票數量,Hot: 每天>5隻股>30%漲幅; Cold: <2隻; 按此調整倉位和策略,Hot market → 動能充足 → 加大倉位+積極追 → 回報高; Cold → 縮倉+保守,↑系統: 市場溫度決定倉位大小
1350,Cold Market的正確應對,冷市持倉時間,Cold市場2個紅日 = 立即縮倉; 不要因冷市加頻率交易以求彌補,冷市增加交易頻率 → 更多小虧損 → 損失加速; 正確做法=縮倉等待,⚠️AVOID: 冷市加頻率是常見錯誤
1400,節假日前後的冷市日標準,節假日前後成交量%,節假日前後成交量<平均60% = 冷市日; 設立Cold Market日目標($1K-2K而非$5K),節假日 → 機構缺席 → 成交量萎縮 → 假突破多 → 降低期望和倉位,"⚠️LOW WIN: 節假日降倉50%,僅做最明顯setup"
7,Trade-Ideas Gap掃描器篩選流程,缺口%閾值,基礎篩選:缺口>4%; 精篩: Float<10M+量>5x; 最終確認: Benzinga/MarketWatch找消息,掃描器→Float確認→消息確認→建立觀察清單→預設入場位→開盤執行,↑系統性流程: 紀律性掃描減少遺漏和衝動交易
20,每日觀察清單建立SOP,每日準備時間(分鐘),6:30前完成觀察清單; 確認3-5隻最優選; 提前設置入場位和止損位,早起→掃描→篩選→確認消息→確認Float→預設訂單→等待開盤執行,↑系統性紀律: 有觀察清單比無計劃交易勝率高30%+
912,1500%漲幅股識別系統,前期形態+Float+消息,1500%+漲幅股共同特徵: 低Float(<5M)+有消息+反轉套期(Reverse Split後)+技術整理,低Float+消息發布 → 掃描器觸發 → 快速入場 → 首波動能最強,↑HIGH WIN: 越早識別越高回報; 首波5-15分鐘是黃金窗口
20,消息催化劑質量分級,消息類型,FDA批准>臨床試驗結果>合作協議>私募融資>管理層變動>普通消息,FDA消息 → 最強散戶情緒 → 最大成交量 → 最高上漲幅度,↑消息質量排名: FDA(最高)>臨床>合作>PP>其他
1302,月初動能設置,月初第一周交易計劃,月初前三天: 保守策略+建立緩衝; 有緩衝後: 加大倉位進攻,月初緩衝建立 → 心理壓力降低 → 更客觀判斷 → 月中加大risk,↑心理管理: 月初先求穩再求進取
18,Revenge Trading識別和避免,倉位大小變化,加倍/三倍倉位以求回本 = Revenge Trading; 相同倉位繼續 = 正常止損後再試,大虧 → 情緒激動 → 加倍倉位 → 更大虧損 → 帳戶崩潰,⚠️AVOID: 任何倉位翻倍操作都是危險信號
54,大贏日後次日管理,前日盈利vs次日初始倉位,最大贏日後次日: 倉位縮50%; 只做5/5標準setup; 心理預設降低,大贏 → 過高期望 → 勉強入場不合格setup → 虧損,⚠️AVOID: 大贏後降倉是保護利潤的關鍵規則
910,Stair-Step Recovery vs Revenge Trading,每筆交易P&L,紅日後: 保持相同倉位逐步恢復 = 正確; 增大倉位試圖快速回本 = 錯誤,虧損後相同倉位繼續 → 逐步回本 → 心理穩定; 加倉 → 更大虧損,⚠️策略: 虧損後不改變倉位，只改變入場條件嚴格度
74,連紅後的心理管理,連續紅日數量,連續4+紅日 = 需要根本性策略調整而非情緒調整; 縮倉至最小,連紅 → 檢視策略有效性 → 找原因而非強行扭轉 → 縮倉等待重設,⚠️系統: 4+連紅 = 停下來分析問題不是加大風險
1299,平均虧損>平均盈利的危機,平均盈虧比,即使勝率60%，若平均虧損>平均盈利 = 仍然虧錢; 盈虧比必須≥1,高勝率 + 差盈虧比 → 總體虧損; 必須同時管理勝率和盈虧比,↑核心原則: 目標盈虧比>1.5:1; 勝率>55%
67,大量持倉的滑價風險,倉位大小(股數)vs流動性,"10,000股市場賣出 = 顯著滑價; 流動性不足時用市場單成本很高",大倉位 + 市場單出場 → 滑價損失 → 實際損失遠大於計劃,⚠️AVOID: 大倉位使用限價單出場; 市場單僅緊急用
1305,每日最大損失觸發後的強制停止,日虧金額門檻,達到日最大損失(通常=$5K或帳戶5%) → 強制停止 → 不找回本,達到Max Loss → 立即停止 → 避免情緒化連環虧損 → 保護帳戶結構,⚠️鐵律: 達到Max Loss無例外停止，即使感覺市場「應該」反轉
1304,盈利50%回吐後的停止規則,當日峰值盈利vs當前,若從當日峰值回吐>50%利潤 = 立即停止交易，保護剩餘利潤,大贏後繼續交易 → 過度自信 → 冒更大風險 → 利潤大量回吐,↑保護原則: 峰值回吐50% = 收工，即使仍在日目標以上
558,主題股跟進（AI/Crypto/Defense）,主題關聯度,市場主題股（AI/加密貨幣/國防）: 同theme股票輪番上漲; 需識別當前最強主題,主題爆發 → 首隻股大漲 → 同主題其他股跟漲 → 識別theme輪動機會,↑HIGH WIN: 在主題高峰期交易同類股票
558,股票代碼含關鍵詞效應 (GFAI/CXAI),股票代碼相關性,股票代碼含AI/Crypto/熱門詞 = 情緒催化劑; 即使無實際業務關聯也有效,代碼含熱詞 → 散戶搜索 → 關注度爆升 → 成交量激增 → 拉升,↑SHORT WIN: 熱詞效應持續約1-3天; 快進快出
1305,主題跟進的風險 (QMM案例),主題延續天數,主題股連漲2-3天後: 消息已price-in; 第3天以後入場勝率大降,主題第1-2天 → 最強動能; 第3天 → 動能衰減; 第4天+ → 反轉風險高,⚠️AVOID: 主題股第3天以後追入風險高
1005,大公司名字在標題的情緒效應,大公司名字出現頻率,小市值公司+Nvidia/SpaceX/Apple在標題 = 額外情緒催化; 低Float效果最強,大公司名字 → 媒體轉載 → 散戶情緒爆發 → 成交量激增 → 股價快速拉升,↑HIGH WIN: 大公司關聯+低Float=最強組合; 73M股成交量+140%
1015,SpaceX/Nvidia關聯消息交易,消息催化劑類型,小市值公司宣布與SpaceX合作 + Float低 = 立即關注; 快速入場快速出場,消息發布 → 快速上掃 → 入場 → 目標=前高或整數關口 → 快速出場,↑HIGH WIN: 大公司關聯消息+低Float; 安全漲幅目標=30-80%
1461,國防/石油行業主題 (2025年),行業主題相關性,2025年3月: 國防承包商主題+石油上漲主題是最強催化劑方向,地緣政治 → 國防合同消息 → 相關小市值股爆發 → 做多機會,↑HIGH WIN (2025): 國防/石油主題小市值股
12,$2-$10股價範圍最佳,股價美元範圍,股價<$2 = 點差太大+流動性差; >$10 = 波動率相對小; $2-$10 = 最佳甜區,低股價($2-10) → 高百分比波動可能 → 小帳戶可買多股 → 最佳風險回報,↑HIGH WIN: $2-$10有消息股是小帳戶最佳選擇
556,$2以下股票避免 (Penny Stocks),股價門檻,股價<$2 = 點差佔比過高 → 交易成本過高 → 即使動能好也難獲利,低股價(<$2) → 大點差 → 進出損耗大 → 淨利潤大幅降低,⚠️AVOID: <$2股票流動性差+點差太大
1315,$2000小帳戶挑戰策略,帳戶資金($)，每筆最大風險%,小帳戶($2K): 每筆最大風險=帳戶10%; 目標每天賺10%; 只做最確信setup,小帳戶 → 保守分配 → 每筆最大虧損$200 → 只交最高確信度trades,↑系統: 小帳戶比例風險管理(10%/10%)，Day 1達成157%增長
72,"$25,000 PDT門檻的策略意義",帳戶餘額($25K),突破$25K門檻後: 可在美國帳戶不受PDT限制; 策略自由度大增,帳戶突破25K → 移入美國帳戶 → 無PDT限制 → 交易頻率增加 → 策略更靈活,↑里程碑: 小帳戶挑戰的關鍵分水嶺
1320,PDT規則改革 (2025年FINRA),PDT規則門檻($),2025年FINRA批准PDT規則改革: 首次將Margin和Leverage分開; 影響小帳戶交易者,PDT修改 → 小帳戶交易靈活性增加 → 新策略機會 → 市場散戶參與增加,↑制度變化: 關注PDT新規對散戶市場流動性的影響
22,恐懼導致過早止盈,情緒vs K線位置,恐懼未實現利潤消失 → 過早止盈 → 小贏; 應設定目標位再出場,恐懼情緒 → 提前賣出 → 股票繼續上漲 → 錯過大利潤,⚠️心理陷阱: 恐懼導致贏面縮小; 需要預設目標位才能克服
22,恐懼導致過晚止損,情緒vs止損執行,恐懼確認虧損 → 持有虧損倉位過久 → 小虧變大虧,恐懼確認損失 → 不執行止損 → 損失越來越大 → 最終被迫大量虧損,⚠️心理陷阱: 恐懼止損是最大錯誤之一
545,Educated Intuition vs 衝動交易,No-Trade Days數量,有教育基礎的直覺: 看到2打setup都不合格 → 不交易; 衝動: 降低標準硬入場,有紀律的直覺 → 識別低質量setup → 不交易 → 保護帳戶; 衝動 → 虧損,↑核心能力: 學會說「不」是長期盈利的關鍵
1297,質量>數量的長期驗證,年度交易次數vs總利潤,取年度統計: 交易次數減少30%但總利潤增加; 每筆平均獲利大幅提升,減少交易次數 → 只保留高質量setup → 勝率提升 → 平均獲利提升,↑長期策略: 每年回顧metrics確認質量>數量
1310,77筆交易的熱市倉位管理,每日交易筆數vs市場溫度,Hot market:可以增加到每日10-15筆; 但每筆都需要符合基本標準,Hot market → 更多高質量機會 → 增加交易次數OK → 但仍需標準,↑Hot market策略: 增加次數但不降低標準
556,Daily Breakout Setup (GFAI),日線圖技術形態,日線圖整合後突破+有消息 = 強力setup; GFAI: 日線整合後+72%,日線整合結束 → 消息觸發 → 突破日線阻力 → 日內+週級別動能疊加,↑HIGH WIN: 日線突破+日內消息組合
1250,10AM後突然出現的Squeeze,時間+動能觸發,平靜開盤後10AM突然出現的Squeeze = 高質量機會; 無提前預警更純粹,盤中突然出現擠壓 → 空頭猝不及防 → 回補恐慌 → 快速拉升,↑MEDIUM WIN: 10AM後Squeeze比開盤Squeeze更持久
913,Jack-knife Reversal避免,K線形態,快速上漲後突然反轉的刀型走勢 = Jack-knife; 在Choppy市場多見,快漲 → 買盤耗盡 → 突然反轉 → 持多倉者被困,"⚠️AVOID: 識別Choppy市場特徵,減少追高"
913,False Breakout識別,成交量確認,突破但成交量不足(<3x平均量) = 假突破; 等待量能確認再入場,假突破 → 量不足 → 大賣壓在高位 → 快速回落 → 虧損,⚠️AVOID: 無量突破一律不追
1006,Ross的5項股票選擇完整清單,5項量化指標,①正確股價範圍 ②消息催化劑 ③Float夠小 ④技術形態清晰 ⑤成交量確認,5項全符合 → 最高確信度 → 增倉; 缺少任何1項 → 降倉或觀望,↑多因子: 20%股價+20%消息+25%Float+20%形態+15%量能
1002,月度Catalyst Profile分析法,按類型統計月度P&L,月末統計: 哪類消息/Float/行業帶來最多利潤 → 下月優先聚焦該類型,歷史P&L統計 → 找到個人最佳交易類型 → 複製到下月計劃 → 系統性改進,↑量化回顧: 按消息類型×Float×行業×入場時間分析最佳組合
1008,市場熱度動態倉位調整,每日>30%漲幅股票數,每天>5隻股票漲幅>30% = Hot(倉位+50%); <2隻 = Cold(倉位-50%),市場熱度信號 → 動態倉位調整 → 熱市進攻/冷市防守,"↑動態策略: 熱市倉位最大化,冷市最小化"
1011,Parabolic識別與倉位分配,"拋物線斜率,halt次數",拋物線形態 = 最強動能信號; 多個連續halt up = 最高優先,拋物線發生 → 空頭恐慌+追單加入 → 最大動能 → 分批加倉跟隨,↑EXTREME WIN: 拋物線期間是最大倉位時機
1200,明顯股票法則,當日最高成交量和漲幅排名,自問: 這是今天市場上最明顯的股票嗎? No = 跳過不交易,明顯股 → 最多交易者關注 → 最佳流動性 → 最可預測走勢 → 最高勝率,↑核心篩選: 每天只交易1-2隻最明顯股票
75,連續紅日後的縮倉反彈,連紅後第一個綠日倉位,4連紅後第一個綠日: 倉位縮25%; 目標=小贏+重建心理; 不求彌補,縮倉 → 心理壓力降低 → 更客觀判斷 → 找到好setup → 小贏 → 恢復信心,"↑恢復策略: 連紅後縮倉是正確選擇,勝率會比大倉位更高"
66,連贏期間的倉位擴張原則,帳戶增長率%,連贏且帳戶健康增長: 可以逐步增倉(每成功10次增加10-20%倉位),連贏 → 有信心基礎 → 逐步增倉 → 利潤加速增長,"↑增長策略: 不要突然大幅增倉,逐步增加確保策略仍有效"
53,Back-side Trading後段交易,從當日高點回落%,股票從高點回落>30% = 動能反轉; 後段做多勝率<40%,動能衰竭 → 追多後段 → 連環小虧 → 帳戶緩慢消耗,"⚠️AVOID: 從高點回落>20%後不追多,考慮做空或觀望"
1000,消息已Price-In識別,次日成交量vs前日%,強勢股次日成交量<前日50% = 消息已price-in; 追入風險高,消息被市場充分吸收 → 買盤減少 → 賣壓增加 → 追入者虧損,⚠️AVOID: 次日量大幅萎縮的前強勢股
1304,中國上市股票風險,公司注冊地,中國公司(CN代碼) = 信息不透明+突然暴跌風險; 即使有大動作也避免,中國股信息不透明 → 突然監管風險 → 無法預測反轉 → 大虧風險,⚠️AVOID: CN代碼中國公司，信息不透明無法交易
1440,給回一半獲利的行為模式,峰值盈利到當前比例%,達到$10K後給回$5K = 心理管理失敗; 應在+10K時設置$7K的移動止損,大贏 → 繼續交易 → 過度自信 → 給回大部分 → 挫折感,⚠️策略漏洞: 需要建立移動止損機制保護大贏日利潤
289,執行平台選擇的重要性,訂單執行延遲(秒),E-Trade Pro訂單填充20-31秒 = 不可接受; 需要<1秒填充平台,慢平台 → 錯過入場/出場時機 → 滑價 → 虧損; 好平台 = 毫秒級執行,⚠️基礎設施: 平台執行速度是日內交易基礎條件
1150,宏觀事件觸發指數大波動,S&P500單日波動%,關稅/白宮消息 → 指數單日8%擺動; 這種環境下小市值個股機會更大,宏觀衝擊 → 大市指數劇烈波動 → 個股情緒極端 → 做反向回復或順勢爆發,"↑MACRO觸發: 宏觀事件日個股機會倍增,但風險也倍增"
1450,加密貨幣催化劑衰退 (2025),加密貨幣相關主題股表現,2025年加密資產策略股熱度消退 → 這類催化劑不再有效; 需找新主題,市場主題衰退 → 同類股票反應減弱 → 需要識別下一個主題,↑主題追蹤: 監控市場主題輪換是保持策略有效的關鍵
1200,強勢月份識別與下月計劃,"月度P&L,市場動能",強勢月末(如May 2024): 下月繼續同等積極; 弱勢月後: 調低預期,強勢月末 → 動能延續概率高 → 加大倉位合理; 弱勢月後 → 觀望調整,↑月度節奏: 強勢月>下月繼續進攻; 弱勢月>下月保守
552,銀行危機對小市值的影響 (SVB 2023),宏觀事件持續影響時間,SVB/Signature Bank崩潰 → 市場分心 → 小市值動能消失約1個月,銀行危機 → 散戶關注宏觀 → 小市值成交量萎縮 → 策略暫時失效,⚠️宏觀風險: 系統性危機期間暫停小市值動能策略
